"rmse_muPIr","rrmse_muPIr"
527.364340512522,14.5897274073881
930.32884586976,10.6746152015533
1098.66947495827,12.4081749183816
1071.58184266987,15.7767107914808
610.153644072392,13.6880301381913
613.651350933181,10.3128373521706
17159.5200586973,16.1441994010093
2878.23019632068,13.0636212625314
2846.54758238625,14.2857157215552
1617.51132430144,15.6481896805315
836.697269358041,15.6306068357875
2879.48807938851,12.8509090570683
431.978917455985,15.7020352295092
2703.5774274864,16.2957386182713
2058.45718923749,14.652744456354
652.819795193561,13.9343490143206
2830.07224971696,17.0314188582432
1917.16295014819,17.7597313892651
293.715000347705,12.9599227070006
4115.47344119614,15.1234613625479
192.319316898066,14.0047371844343
1617.71853585688,13.8422215024316
260.488921685413,13.5216751122354
878.467136962274,11.9257161237929
5173.67751515597,12.970504256456
1486.49948009032,18.820077323609
